;issn;journal_name;citation_count_sum;paper_count_sum;avg_cites_per_paper;ranking;proj_ai
0;2092-6731;3d research;151.0;106.0;1.4245283018867925;D;0.29
1;1530-9932;aaps pharmscitech;2208.0;801.0;2.756554307116105;D;0.665
2;1687-0409;abstract and applied analysis;3005.0;2923.0;1.0280533698255216;B;0.192
3;1545-7230;academic psychiatry;537.0;490.0;1.0959183673469388;;0.20800000000000002
4;1936-4709;academic questions;40.0;67.0;0.5970149253731343;A;0.09699999999999999
5;1432-0517;accreditation and quality assurance;255.0;331.0;0.770392749244713;A;0.134
6;1839-2571;acoustics australia;30.0;25.0;1.2;D;0.23399999999999999
7;2199-6067;acrocephalus;9.0;15.0;0.6;C;0.098
8;1846-0453;acta adriatica;28.0;37.0;0.7567567567567568;;0.131
9;1854-1941;acta agriculturae slovenica;71.0;97.0;0.7319587628865979;C;0.125
10;0044-5967;acta amazonica;340.0;315.0;1.0793650793650793;B;0.204
11;1572-9036;acta applicandae mathematicae;512.0;447.0;1.145413870246085;A;0.22
12;0001-527X;acta biochimica polonica;912.0;500.0;1.824;C;0.396
13;1726-569X;acta bioethica;70.0;98.0;0.7142857142857143;C;0.122
14;1898-0295;acta biologica cracoviensia series botanica;128.0;131.0;0.9770992366412212;C;0.18
15;1572-8358;acta biotheoretica;143.0;109.0;1.3119266055045868;D;0.261
16;0102-3306;acta botanica brasilica;536.0;448.0;1.1964285714285714;B;0.233
17;0365-0588;acta botanica croatica;109.0;119.0;0.9159663865546218;D;0.166
18;1614-7065;acta chimica sinica;619.0;537.0;1.1527001862197392;;0.222
19;1318-0207;acta chimica slovenica;499.0;520.0;0.9596153846153846;D;0.17600000000000002
20;1580-3155;acta chimica slovenica;499.0;520.0;0.9596153846153846;B;0.17600000000000002
21;0102-8650;acta cirurgica brasileira;657.0;602.0;1.0913621262458473;D;0.207
22;1678-2674;acta cirurgica brasileira;657.0;602.0;1.0913621262458473;D;0.207
23;1333-9451;acta clinica croatica;230.0;287.0;0.8013937282229965;B;0.141
24;1432-5233;acta diabetologica;1432.0;483.0;2.9648033126294;C;0.7290000000000001
25;1958-5454;acta endoscopica;31.0;70.0;0.4428571428571429;;0.067
26;1437-9546;acta ethologica;138.0;103.0;1.3398058252427183;D;0.268
27;1895-7455;acta geophysica;443.0;339.0;1.3067846607669618;D;0.26
28;1861-1133;acta geotechnica;481.0;193.0;2.492227979274612;C;0.586
29;1827-9635;acta herpetologica;100.0;114.0;0.8771929824561403;A;0.158
30;1827-9643;acta herpetologica;100.0;114.0;0.8771929824561403;C;0.158
31;1970-9498;acta herpetologica;100.0;114.0;0.8771929824561403;D;0.158
32;1347-5800;acta histochemica et cytochemica;193.0;135.0;1.4296296296296296;D;0.29100000000000004
33;0137-1592;acta ichthyologica et piscatoria;163.0;155.0;1.0516129032258064;A;0.198
34;1432-0525;acta informatica;97.0;86.0;1.127906976744186;D;0.21600000000000005
35;2179-975X;acta limnologica brasiliensia;226.0;186.0;1.2150537634408602;A;0.237
36;1619-6937;acta mechanica;1758.0;879.0;2.0;D;0.444
37;1614-3116;acta mechanica sinica;636.0;528.0;1.2045454545454546;A;0.235
38;0386-300X;acta medica okayama;257.0;228.0;1.1271929824561404;;0.21600000000000005
39;1646-0758;acta medica portuguesa;313.0;497.0;0.6297786720321932;A;0.10400000000000001
40;1335-1788;acta montanistica slovaca;5.0;2.0;2.5;D;0.588
41;0065-1400;acta neurobiologiae experimentalis;450.0;215.0;2.0930232558139537;D;0.47
42;1689-0035;acta neurobiologiae experimentalis;450.0;215.0;2.0930232558139537;D;0.47
43;0942-0940;acta neurochirurgica;2777.0;1512.0;1.836640211640212;D;0.39899999999999997
44;2240-2993;acta neurologica belgica;354.0;312.0;1.1346153846153846;D;0.218
45;1432-0533;acta neuropathologica;7201.0;719.0;10.015299026425591;A;3.3710000000000004
